[Summary]
Novonix HPC data file
Novonix
Channel: 09
Cell: 2023-12-12_fullcell_aqds_vanadium_insituUVvis.csv
Serial Number: 
Description: Enter description here...
Protocol: CCCV_fullcell_50mA_until_200mV_chrge1p3V_dischrge0p4V.pro1
Mass (g): 1.000
Capacity (Ah): 1.000
Area (cm2): 1.000
DC Offset Voltage (V): 0.00000
Started: 12/12/2023 10:58:00 AM
Version: 2.2.0.2
[End Summary]
[Protocol]
Protocol: CCCV_fullcell_50mA_until_200mV_chrge1p3V_dischrge0p4V.pro1
[0: Open_circuit_storage:]
   [End step when step time > 30 seconds]
   [Save data when Δt > 2 seconds]
   [StepLimits -999 999999 0 50 0 100 0 100 -150 500 -150 500 -0.624045864045863 1.47535724815725 -0.624045864045863 1.47535724815725 -999 2 0 2]
[5: Repeat: 8000 time(s) Node count: 3]
   [3: CC-CV_charge: 50 mA to 1.3 V]
      [During CV, End step when step time > 4 hours or when abs(I) < 5 mA]
      [Any time, Save data when ΔV > 0.002 V or when Δt > 2 seconds]
      [StepLimits 0 10 0 10 0 100 0 100 -150 500 -150 500 -0.562948402948403 1.41975823095823 -0.562948402948403 1.41975823095823 0 1.76216216216216 0 1.74234234234234]
   [4: CC-CV_discharge: 50 mA to 0.4 V]
      [During CV, End step when step time > 4 hours or when abs(I) < 5 mA]
      [Any time, Save data when ΔV > 0.002 V or when Δt > 2 seconds]
      [StepLimits 0 10 0 10 0 100 0 100 -150 500 -150 500 -0.555806715806716 1.41042686322686 -0.555806715806716 1.41042686322686 0 1.72252252252252 0 1.72252252252252]
   [6: Increment_cycle_counter:]
[End Protocol]
[Data]
Date and Time,Cycle Number,Step Type,Run Time (h),Step Time (h),Current (A),Potential (V),Capacity (Ah),Temperature (°C),Circuit Temperature (°C),Energy (Wh),dVdt (I/h),dIdt (V/h),Step Number,Step position
12/12/2023 11:23:16 AM,1,7,0.4211111,0.4125333,0.0499869567,1.15073937,0.0206211560,-9999.00000000,21.418,0.0171889510,0.0000000,0.0000000,2,0
12/12/2023 11:23:16 AM,1,7,0.4212556,0.4126778,0.0499870817,1.15336446,0.0206283764,-9999.00000000,21.402,0.0171972716,0.0000000,0.0000000,2,0
12/12/2023 11:23:17 AM,1,7,0.4213639,0.4127861,0.0499873622,1.15540365,0.0206337916,-9999.00000000,21.409,0.0172035248,0.0000000,0.0000000,2,0
12/12/2023 11:23:17 AM,1,7,0.4214722,0.4128944,0.0499869018,1.15744627,0.0206392069,-9999.00000000,21.413,0.0172097892,0.0000000,0.0000000,2,0
12/12/2023 11:23:17 AM,1,7,0.4215806,0.4130028,0.0499869689,1.15948446,0.0206446222,-9999.00000000,21.413,0.0172160644,0.0000000,0.0000000,2,0
12/12/2023 11:23:18 AM,1,7,0.4216889,0.4131111,0.0499871610,1.16154931,0.0206500375,-9999.00000000,21.403,0.0172223508,0.0000000,0.0000000,2,0
12/12/2023 11:23:18 AM,1,7,0.4217972,0.4132194,0.0499871213,1.16360498,0.0206554527,-9999.00000000,21.400,0.0172286483,0.0000000,0.0000000,2,0
12/12/2023 11:23:19 AM,1,7,0.4219056,0.4133278,0.0499874842,1.16567731,0.0206608680,-9999.00000000,21.410,0.0172349569,0.0000000,0.0000000,2,0
12/12/2023 11:23:19 AM,1,7,0.4220139,0.4134361,0.0499870146,1.16775795,0.0206662833,-9999.00000000,21.419,0.0172412769,0.0000000,0.0000000,2,0
12/12/2023 11:23:19 AM,1,7,0.4221222,0.4135444,0.0499869048,1.16982653,0.0206716985,-9999.00000000,21.418,0.0172476081,0.0000000,0.0000000,2,0
12/12/2023 11:23:20 AM,1,7,0.4222306,0.4136528,0.0499871213,1.17191413,0.0206771138,-9999.00000000,21.399,0.0172539505,0.0000000,0.0000000,2,0
12/12/2023 11:23:20 AM,1,7,0.4223389,0.4137611,0.0499870847,1.17400867,0.0206825291,-9999.00000000,21.399,0.0172603043,0.0000000,0.0000000,2,0
12/12/2023 11:23:21 AM,1,7,0.4224472,0.4138694,0.0499873744,1.17610756,0.0206879444,-9999.00000000,21.402,0.0172666696,0.0000000,0.0000000,2,0
12/12/2023 11:23:21 AM,1,7,0.4225556,0.4139778,0.0499869323,1.17821516,0.0206933596,-9999.00000000,21.415,0.0172730462,0.0000000,0.0000000,2,0
12/12/2023 11:23:22 AM,1,7,0.4226639,0.4140861,0.0499870786,1.18034993,0.0206987749,-9999.00000000,21.415,0.0172794343,0.0000000,0.0000000,2,0
12/12/2023 11:23:22 AM,1,7,0.4227722,0.4141944,0.0499870817,1.18251403,0.0207041902,-9999.00000000,21.404,0.0172858340,0.0000000,0.0000000,2,0
12/12/2023 11:23:22 AM,1,7,0.4228806,0.4143028,0.0499871213,1.18467217,0.0207096054,-9999.00000000,21.396,0.0172922453,0.0000000,0.0000000,2,0
12/12/2023 11:23:23 AM,1,7,0.4229889,0.4144111,0.0499873378,1.18682023,0.0207150207,-9999.00000000,21.404,0.0172986683,0.0000000,0.0000000,2,0
12/12/2023 11:23:23 AM,1,7,0.4230972,0.4145194,0.0499869963,1.18897928,0.0207204360,-9999.00000000,21.418,0.0173051029,0.0000000,0.0000000,2,0
12/12/2023 11:23:24 AM,1,7,0.4232056,0.4146278,0.0499870725,1.19113460,0.0207258513,-9999.00000000,21.415,0.0173115492,0.0000000,0.0000000,2,0
12/12/2023 11:23:24 AM,1,7,0.4233139,0.4147361,0.0499870329,1.19329350,0.0207312665,-9999.00000000,21.405,0.0173180072,0.0000000,0.0000000,2,0
12/12/2023 11:23:24 AM,1,7,0.4234222,0.4148444,0.0499871396,1.19543568,0.0207366818,-9999.00000000,21.402,0.0173244769,0.0000000,0.0000000,2,0
12/12/2023 11:23:24 AM,1,7,0.4235306,0.4149528,0.0499874659,1.19759321,0.0207420971,-9999.00000000,21.405,0.0173309583,0.0000000,0.0000000,2,0
12/12/2023 11:23:25 AM,1,7,0.4236389,0.4150611,0.0499869689,1.19973608,0.0207475124,-9999.00000000,21.418,0.0173374513,0.0000000,0.0000000,2,0
12/12/2023 11:23:25 AM,1,7,0.4237472,0.4151694,0.0499870116,1.20188742,0.0207529276,-9999.00000000,21.420,0.0173439560,0.0000000,0.0000000,2,0
12/12/2023 11:23:26 AM,1,7,0.4238556,0.4152778,0.0499871335,1.20405312,0.0207583429,-9999.00000000,21.406,0.0173504724,0.0000000,0.0000000,2,0
12/12/2023 11:23:26 AM,1,7,0.4239639,0.4153861,0.0499871396,1.20622966,0.0207637582,-9999.00000000,21.403,0.0173570005,0.0000000,0.0000000,2,0
12/12/2023 11:23:26 AM,1,7,0.4240722,0.4154944,0.0499873561,1.20839307,0.0207691735,-9999.00000000,21.406,0.0173635404,0.0000000,0.0000000,2,0
12/12/2023 11:23:27 AM,1,7,0.4241806,0.4156028,0.0499869018,1.21054228,0.0207745887,-9999.00000000,21.416,0.0173700919,0.0000000,0.0000000,2,0
12/12/2023 11:23:27 AM,1,7,0.4242889,0.4157111,0.0499870908,1.21268087,0.0207800040,-9999.00000000,21.414,0.0173766550,0.0000000,0.0000000,2,0
12/12/2023 11:23:28 AM,1,7,0.4243972,0.4158194,0.0499871488,1.21481702,0.0207854193,-9999.00000000,21.403,0.0173832296,0.0000000,0.0000000,2,0
12/12/2023 11:23:28 AM,1,7,0.4245056,0.4159278,0.0499871183,1.21695096,0.0207908345,-9999.00000000,21.400,0.0173898158,0.0000000,0.0000000,2,0
12/12/2023 11:23:28 AM,1,7,0.4246139,0.4160361,0.0499874293,1.21906818,0.0207962498,-9999.00000000,21.407,0.0173964136,0.0000000,0.0000000,2,0
12/12/2023 11:23:29 AM,1,7,0.4247222,0.4161444,0.0499869567,1.22116027,0.0208016651,-9999.00000000,21.415,0.0174030227,0.0000000,0.0000000,2,0
12/12/2023 11:23:29 AM,1,7,0.4248306,0.4162528,0.0499870299,1.22323329,0.0208070804,-9999.00000000,21.419,0.0174096432,0.0000000,0.0000000,2,0
12/12/2023 11:23:30 AM,1,7,0.4249389,0.4163611,0.0499870969,1.22529629,0.0208124956,-9999.00000000,21.410,0.0174162748,0.0000000,0.0000000,2,0
12/12/2023 11:23:30 AM,1,7,0.4250472,0.4164694,0.0499870481,1.22736182,0.0208179109,-9999.00000000,21.399,0.0174229176,0.0000000,0.0000000,2,0
12/12/2023 11:23:30 AM,1,7,0.4251556,0.4165778,0.0499874476,1.22941514,0.0208233262,-9999.00000000,21.408,0.0174295717,0.0000000,0.0000000,2,0
12/12/2023 11:23:31 AM,1,7,0.4252639,0.4166861,0.0499869140,1.23146158,0.0208287415,-9999.00000000,21.415,0.0174362368,0.0000000,0.0000000,2,0
12/12/2023 11:23:31 AM,1,7,0.4253722,0.4167944,0.0499870055,1.23348535,0.0208341567,-9999.00000000,21.412,0.0174429128,0.0000000,0.0000000,2,0
12/12/2023 11:23:32 AM,1,7,0.4255167,0.4169389,0.0499869628,1.23615395,0.0208413771,-9999.00000000,21.403,0.0174518311,0.0000000,0.0000000,2,0
12/12/2023 11:23:32 AM,1,7,0.4256611,0.4170833,0.0499871305,1.23876728,0.0208485974,-9999.00000000,21.400,0.0174607683,0.0000000,0.0000000,2,0
12/12/2023 11:23:33 AM,1,7,0.4258056,0.4172278,0.0499869201,1.24136878,0.0208558178,-9999.00000000,21.415,0.0174697245,0.0000000,0.0000000,2,0
12/12/2023 11:23:33 AM,1,7,0.4259500,0.4173722,0.0499870055,1.24391133,0.0208630382,-9999.00000000,21.413,0.0174786991,0.0000000,0.0000000,2,0
12/12/2023 11:23:34 AM,1,7,0.4260944,0.4175167,0.0499870786,1.24646251,0.0208702585,-9999.00000000,21.400,0.0174876921,0.0000000,0.0000000,2,0
12/12/2023 11:23:34 AM,1,7,0.4262389,0.4176611,0.0499873744,1.24890322,0.0208774789,-9999.00000000,21.404,0.0174967031,0.0000000,0.0000000,2,0
12/12/2023 11:23:35 AM,1,7,0.4263833,0.4178056,0.0499873561,1.25137775,0.0208846993,-9999.00000000,21.413,0.0175057318,0.0000000,0.0000000,2,0
12/12/2023 11:23:35 AM,1,7,0.4265278,0.4179500,0.0499870878,1.25377478,0.0208919196,-9999.00000000,21.412,0.0175147780,0.0000000,0.0000000,2,0
12/12/2023 11:23:36 AM,1,7,0.4266722,0.4180944,0.0499871000,1.25614204,0.0208991400,-9999.00000000,21.399,0.0175238414,0.0000000,0.0000000,2,0
12/12/2023 11:23:36 AM,1,7,0.4268167,0.4182389,0.0499871518,1.25846532,0.0209063604,-9999.00000000,21.403,0.0175329218,0.0000000,0.0000000,2,0
12/12/2023 11:23:37 AM,1,7,0.4269611,0.4183833,0.0499869384,1.26073692,0.0209135807,-9999.00000000,21.414,0.0175420186,0.0000000,0.0000000,2,0
12/12/2023 11:23:37 AM,1,7,0.4271056,0.4185278,0.0499872006,1.26298782,0.0209208011,-9999.00000000,21.407,0.0175511317,0.0000000,0.0000000,2,0
12/12/2023 11:23:38 AM,1,7,0.4272500,0.4186722,0.0499872006,1.26516337,0.0209280215,-9999.00000000,21.402,0.0175602608,0.0000000,0.0000000,2,0
12/12/2023 11:23:39 AM,1,7,0.4273944,0.4188167,0.0499874751,1.26737854,0.0209352418,-9999.00000000,21.406,0.0175694058,0.0000000,0.0000000,2,0
12/12/2023 11:23:39 AM,1,7,0.4275389,0.4189611,0.0499870390,1.26948836,0.0209424622,-9999.00000000,21.415,0.0175785663,0.0000000,0.0000000,2,0
12/12/2023 11:23:40 AM,1,7,0.4276833,0.4191056,0.0499871244,1.27158695,0.0209496825,-9999.00000000,21.402,0.0175877419,0.0000000,0.0000000,2,0
12/12/2023 11:23:40 AM,1,7,0.4278278,0.4192500,0.0499872250,1.27363331,0.0209569029,-9999.00000000,21.399,0.0175969325,0.0000000,0.0000000,2,0
12/12/2023 11:23:41 AM,1,7,0.4279722,0.4193944,0.0499869445,1.27566953,0.0209641233,-9999.00000000,21.418,0.0176061378,0.0000000,0.0000000,2,0
12/12/2023 11:23:41 AM,1,7,0.4281528,0.4195750,0.0499871640,1.27814428,0.0209731487,-9999.00000000,21.419,0.0176176647,0.0000000,0.0000000,2,0
12/12/2023 11:23:42 AM,1,7,0.4282972,0.4197194,0.0499871061,1.28014576,0.0209803691,-9999.00000000,21.405,0.0176269024,0.0000000,0.0000000,2,0
12/12/2023 11:23:42 AM,1,7,0.4284778,0.4199000,0.0499873714,1.28254844,0.0209893946,-9999.00000000,21.408,0.0176384693,0.0000000,0.0000000,2,0
12/12/2023 11:23:43 AM,1,7,0.4286583,0.4200806,0.0499870390,1.28489715,0.0209984200,-9999.00000000,21.417,0.0176500577,0.0000000,0.0000000,2,0
12/12/2023 11:23:44 AM,1,7,0.4288389,0.4202611,0.0499870268,1.28723967,0.0210074455,-9999.00000000,21.404,0.0176616672,0.0000000,0.0000000,2,0
12/12/2023 11:23:44 AM,1,7,0.4290194,0.4204417,0.0499872494,1.28953898,0.0210164709,-9999.00000000,21.408,0.0176732977,0.0000000,0.0000000,2,0
12/12/2023 11:23:45 AM,1,7,0.4292000,0.4206222,0.0499869597,1.29181027,0.0210254964,-9999.00000000,21.420,0.0176849486,0.0000000,0.0000000,2,0
12/12/2023 11:23:46 AM,1,7,0.4293806,0.4208028,0.0499871488,1.29404125,0.0210345218,-9999.00000000,21.406,0.0176966198,0.0000000,0.0000000,2,0
12/12/2023 11:23:46 AM,1,7,0.4295611,0.4209833,0.0499874202,1.29620420,0.0210435473,-9999.00000000,21.411,0.0177083108,0.0000000,0.0000000,2,0
12/12/2023 11:23:47 AM,1,7,0.4297417,0.4211639,0.0499870786,1.29836594,0.0210525728,-9999.00000000,21.427,0.0177200215,0.0000000,0.0000000,2,0
12/12/2023 11:23:48 AM,1,7,0.4299222,0.4213444,0.0499871244,1.30050927,0.0210615982,-9999.00000000,21.406,0.0177317515,0.0000000,0.0000000,2,0
12/12/2023 11:23:48 AM,1,7,0.4300306,0.4214528,0.0496156457,1.30177573,0.0210670001,-9999.00000000,21.414,0.0177387812,0.0000000,0.0000000,2,0
12/12/2023 11:23:50 AM,1,8,0.4306083,0.4220306,0.0401227517,1.29978464,0.0210910238,-9999.00000000,21.415,0.0177700077,0.0000000,0.0000000,2,0
12/12/2023 11:23:52 AM,1,8,0.4311861,0.4226083,0.0375475710,1.29978701,0.0211134502,-9999.00000000,21.419,0.0177991572,0.0000000,0.0000000,2,0
12/12/2023 11:23:54 AM,1,8,0.4317639,0.4231861,0.0358097764,1.29978105,0.0211345967,-9999.00000000,21.426,0.0178266431,0.0000000,0.0000000,2,0
12/12/2023 11:23:56 AM,1,8,0.4323417,0.4237639,0.0341866809,1.29978197,0.0211547118,-9999.00000000,21.430,0.0178527884,0.0000000,0.0000000,2,0
12/12/2023 11:23:58 AM,1,8,0.4329194,0.4243417,0.0326525477,1.29978235,0.0211739583,-9999.00000000,21.425,0.0178778048,0.0000000,0.0000000,2,0
12/12/2023 11:24:00 AM,1,8,0.4334972,0.4249194,0.0313431332,1.29978388,0.0211924681,-9999.00000000,21.411,0.0179018635,0.0000000,0.0000000,2,0
12/12/2023 11:24:02 AM,1,8,0.4340750,0.4254972,0.0303181935,1.29978327,0.0212103068,-9999.00000000,21.410,0.0179250499,0.0000000,0.0000000,2,0
12/12/2023 11:24:05 AM,1,8,0.4346528,0.4260750,0.0294014889,1.29978495,0.0212274883,-9999.00000000,21.417,0.0179473821,0.0000000,0.0000000,2,0
12/12/2023 11:24:07 AM,1,8,0.4352306,0.4266528,0.0283894141,1.29978556,0.0212440991,-9999.00000000,21.410,0.0179689726,0.0000000,0.0000000,2,0
12/12/2023 11:24:09 AM,1,8,0.4358083,0.4272306,0.0272708965,1.29978228,0.0212601681,-9999.00000000,21.410,0.0179898588,0.0000000,0.0000000,2,0
12/12/2023 11:24:11 AM,1,8,0.4363861,0.4278083,0.0264004596,1.29978357,0.0212756995,-9999.00000000,21.412,0.0180100463,0.0000000,0.0000000,2,0
12/12/2023 11:24:13 AM,1,8,0.4369639,0.4283861,0.0256319123,1.29978541,0.0212907261,-9999.00000000,21.415,0.0180295777,0.0000000,0.0000000,2,0
12/12/2023 11:24:15 AM,1,8,0.4375417,0.4289639,0.0249066968,1.29978388,0.0213052688,-9999.00000000,21.419,0.0180484800,0.0000000,0.0000000,2,0
12/12/2023 11:24:17 AM,1,8,0.4381194,0.4295417,0.0239443777,1.29978174,0.0213193413,-9999.00000000,21.416,0.0180667712,0.0000000,0.0000000,2,0
12/12/2023 11:24:19 AM,1,8,0.4386972,0.4301194,0.0231605979,1.29978434,0.0213329581,-9999.00000000,21.413,0.0180844701,0.0000000,0.0000000,2,0
12/12/2023 11:24:21 AM,1,8,0.4392750,0.4306972,0.0224566515,1.29978647,0.0213461473,-9999.00000000,21.424,0.0181016132,0.0000000,0.0000000,2,0
12/12/2023 11:24:23 AM,1,8,0.4398528,0.4312750,0.0218471298,1.29978044,0.0213589322,-9999.00000000,21.416,0.0181182309,0.0000000,0.0000000,2,0
12/12/2023 11:24:26 AM,1,8,0.4404306,0.4318528,0.0211373587,1.29978304,0.0213713209,-9999.00000000,21.419,0.0181343335,0.0000000,0.0000000,2,0
12/12/2023 11:24:27 AM,1,8,0.4410083,0.4324306,0.0205140718,1.29978342,0.0213833311,-9999.00000000,21.418,0.0181499441,0.0000000,0.0000000,2,0
12/12/2023 11:24:29 AM,1,8,0.4415861,0.4330083,0.0199097916,1.29978457,0.0213950025,-9999.00000000,21.426,0.0181651145,0.0000000,0.0000000,2,0
12/12/2023 11:24:32 AM,1,8,0.4421639,0.4335861,0.0193738426,1.29978403,0.0214063453,-9999.00000000,21.430,0.0181798576,0.0000000,0.0000000,2,0
12/12/2023 11:24:34 AM,1,8,0.4427417,0.4341639,0.0188229788,1.29978556,0.0214173682,-9999.00000000,21.429,0.0181941850,0.0000000,0.0000000,2,0
12/12/2023 11:24:36 AM,1,8,0.4433194,0.4347417,0.0183327890,1.29978396,0.0214280844,-9999.00000000,21.428,0.0182081137,0.0000000,0.0000000,2,0
12/12/2023 11:24:38 AM,1,8,0.4438972,0.4353194,0.0178670432,1.29978113,0.0214385211,-9999.00000000,21.417,0.0182216792,0.0000000,0.0000000,2,0
12/12/2023 11:24:40 AM,1,8,0.4444750,0.4358972,0.0173666408,1.29978197,0.0214486851,-9999.00000000,21.415,0.0182348902,0.0000000,0.0000000,2,0
12/12/2023 11:24:42 AM,1,8,0.4450528,0.4364750,0.0168981413,1.29978357,0.0214585833,-9999.00000000,21.433,0.0182477558,0.0000000,0.0000000,2,0
12/12/2023 11:24:44 AM,1,8,0.4456306,0.4370528,0.0164957652,1.29978457,0.0214682320,-9999.00000000,21.423,0.0182602970,0.0000000,0.0000000,2,0
12/12/2023 11:24:46 AM,1,8,0.4462083,0.4376306,0.0161659345,1.29978518,0.0214776545,-9999.00000000,21.417,0.0182725441,0.0000000,0.0000000,2,0
12/12/2023 11:24:48 AM,1,8,0.4467861,0.4382083,0.0157274624,1.29978289,0.0214868356,-9999.00000000,21.432,0.0182844777,0.0000000,0.0000000,2,0
12/12/2023 11:24:50 AM,1,8,0.4473639,0.4387861,0.0152929697,1.29978350,0.0214957867,-9999.00000000,21.435,0.0182961122,0.0000000,0.0000000,2,0
12/12/2023 11:24:53 AM,1,8,0.4479417,0.4393639,0.0149196238,1.29978090,0.0215045304,-9999.00000000,21.419,0.0183074771,0.0000000,0.0000000,2,0
12/12/2023 11:24:54 AM,1,8,0.4485194,0.4399417,0.0146209977,1.29978464,0.0215130740,-9999.00000000,21.437,0.0183185818,0.0000000,0.0000000,2,0
12/12/2023 11:24:57 AM,1,8,0.4490972,0.4405194,0.0143204626,1.29978289,0.0215214126,-9999.00000000,21.428,0.0183294202,0.0000000,0.0000000,2,0
12/12/2023 11:24:59 AM,1,8,0.4496750,0.4410972,0.0140056531,1.29978731,0.0215295745,-9999.00000000,21.446,0.0183400290,0.0000000,0.0000000,2,0
12/12/2023 11:25:01 AM,1,8,0.4502528,0.4416750,0.0136110618,1.29978877,0.0215375497,-9999.00000000,21.443,0.0183503950,0.0000000,0.0000000,2,0
12/12/2023 11:25:03 AM,1,8,0.4508306,0.4422528,0.0133404871,1.29978334,0.0215453459,-9999.00000000,21.449,0.0183605284,0.0000000,0.0000000,2,0
12/12/2023 11:25:05 AM,1,8,0.4514083,0.4428306,0.0131037030,1.29978182,0.0215529828,-9999.00000000,21.453,0.0183704548,0.0000000,0.0000000,2,0
12/12/2023 11:25:07 AM,1,8,0.4519861,0.4434083,0.0128317224,1.29978266,0.0215604594,-9999.00000000,21.440,0.0183801727,0.0000000,0.0000000,2,0
12/12/2023 11:25:09 AM,1,8,0.4525639,0.4439861,0.0125376580,1.29978602,0.0215677733,-9999.00000000,21.452,0.0183896791,0.0000000,0.0000000,2,0
12/12/2023 11:25:11 AM,1,8,0.4531417,0.4445639,0.0122830439,1.29978625,0.0215749451,-9999.00000000,21.456,0.0183990010,0.0000000,0.0000000,2,0
12/12/2023 11:25:13 AM,1,8,0.4537194,0.4451417,0.0120707740,1.29978151,0.0215819890,-9999.00000000,21.454,0.0184081565,0.0000000,0.0000000,2,0
12/12/2023 11:25:15 AM,1,8,0.4542972,0.4457194,0.0118661977,1.29978647,0.0215888980,-9999.00000000,21.449,0.0184171367,0.0000000,0.0000000,2,0
12/12/2023 11:25:17 AM,1,8,0.4548750,0.4462972,0.0116895693,1.29978197,0.0215956875,-9999.00000000,21.438,0.0184259616,0.0000000,0.0000000,2,0
12/12/2023 11:25:20 AM,1,8,0.4554528,0.4468750,0.0114647784,1.29978426,0.0216023736,-9999.00000000,21.456,0.0184346521,0.0000000,0.0000000,2,0
12/12/2023 11:25:21 AM,1,8,0.4560306,0.4474528,0.0113159668,1.29978396,0.0216089574,-9999.00000000,21.455,0.0184432096,0.0000000,0.0000000,2,0
12/12/2023 11:25:24 AM,1,8,0.4566083,0.4480306,0.0111778007,1.29978609,0.0216154558,-9999.00000000,21.454,0.0184516561,0.0000000,0.0000000,2,0
12/12/2023 11:25:26 AM,1,8,0.4571861,0.4486083,0.0110751634,1.29978121,0.0216218818,-9999.00000000,21.455,0.0184600085,0.0000000,0.0000000,2,0
12/12/2023 11:25:28 AM,1,8,0.4577639,0.4491861,0.0109123824,1.29978235,0.0216282291,-9999.00000000,21.455,0.0184682587,0.0000000,0.0000000,2,0
12/12/2023 11:25:30 AM,1,8,0.4583417,0.4497639,0.0108000693,1.29978388,0.0216344977,-9999.00000000,21.445,0.0184764065,0.0000000,0.0000000,2,0
12/12/2023 11:25:32 AM,1,8,0.4589194,0.4503417,0.0106958889,1.29978487,0.0216407026,-9999.00000000,21.460,0.0184844716,0.0000000,0.0000000,2,0
12/12/2023 11:25:34 AM,1,8,0.4594972,0.4509194,0.0105608393,1.29978388,0.0216468398,-9999.00000000,21.459,0.0184924486,0.0000000,0.0000000,2,0
12/12/2023 11:25:36 AM,1,8,0.4600750,0.4514972,0.0104351880,1.29978273,0.0216529034,-9999.00000000,21.449,0.0185003299,0.0000000,0.0000000,2,0
12/12/2023 11:25:38 AM,1,8,0.4606528,0.4520750,0.0103241647,1.29978609,0.0216589047,-9999.00000000,21.465,0.0185081304,0.0000000,0.0000000,2,0
12/12/2023 11:25:40 AM,1,8,0.4612306,0.4526528,0.0102528419,1.29978701,0.0216648453,-9999.00000000,21.467,0.0185158518,0.0000000,0.0000000,2,0
12/12/2023 11:25:42 AM,1,8,0.4618083,0.4532306,0.0101194633,1.29978716,0.0216707194,-9999.00000000,21.468,0.0185234870,0.0000000,0.0000000,2,0
12/12/2023 11:25:44 AM,1,8,0.4623861,0.4538083,0.0100371595,1.29978380,0.0216765363,-9999.00000000,21.454,0.0185310477,0.0000000,0.0000000,2,0
12/12/2023 11:25:47 AM,1,8,0.4629639,0.4543861,0.0098955292,1.29978426,0.0216822978,-9999.00000000,21.475,0.0185385363,0.0000000,0.0000000,2,0
12/12/2023 11:25:48 AM,1,8,0.4635417,0.4549639,0.0098209069,1.29978250,0.0216879982,-9999.00000000,21.475,0.0185459456,0.0000000,0.0000000,2,0
12/12/2023 11:25:51 AM,1,8,0.4641194,0.4555417,0.0097506543,1.29978342,0.0216936459,-9999.00000000,21.482,0.0185532864,0.0000000,0.0000000,2,0
12/12/2023 11:25:53 AM,1,8,0.4646972,0.4561194,0.0096633067,1.29978342,0.0216992452,-9999.00000000,21.482,0.0185605643,0.0000000,0.0000000,2,0
12/12/2023 11:25:55 AM,1,8,0.4652750,0.4566972,0.0095148152,1.29978197,0.0217047884,-9999.00000000,21.465,0.0185677693,0.0000000,0.0000000,2,0
12/12/2023 11:25:57 AM,1,8,0.4658528,0.4572750,0.0094465631,1.29978716,0.0217102751,-9999.00000000,21.471,0.0185749009,0.0000000,0.0000000,2,0
12/12/2023 11:25:59 AM,1,8,0.4664306,0.4578528,0.0093880600,1.29978426,0.0217157170,-9999.00000000,21.479,0.0185819741,0.0000000,0.0000000,2,0
12/12/2023 11:26:01 AM,1,8,0.4670083,0.4584306,0.0093172281,1.29978342,0.0217211132,-9999.00000000,21.467,0.0185889880,0.0000000,0.0000000,2,0
12/12/2023 11:26:03 AM,1,8,0.4675861,0.4590083,0.0091861365,1.29978281,0.0217264552,-9999.00000000,21.477,0.0185959315,0.0000000,0.0000000,2,0
12/12/2023 11:26:05 AM,1,8,0.4681639,0.4595861,0.0091036650,1.29978709,0.0217317498,-9999.00000000,21.481,0.0186028133,0.0000000,0.0000000,2,0
12/12/2023 11:26:07 AM,1,8,0.4687417,0.4601639,0.0090606956,1.29978640,0.0217370018,-9999.00000000,21.478,0.0186096397,0.0000000,0.0000000,2,0
12/12/2023 11:26:09 AM,1,8,0.4693194,0.4607417,0.0089798067,1.29978609,0.0217422057,-9999.00000000,21.481,0.0186164038,0.0000000,0.0000000,2,0
12/12/2023 11:26:12 AM,1,8,0.4698972,0.4613194,0.0089032083,1.29978289,0.0217473593,-9999.00000000,21.472,0.0186231023,0.0000000,0.0000000,2,0
12/12/2023 11:26:14 AM,1,8,0.4704750,0.4618972,0.0087982472,1.29978617,0.0217524737,-9999.00000000,21.480,0.0186297499,0.0000000,0.0000000,2,0
12/12/2023 11:26:15 AM,1,8,0.4710528,0.4624750,0.0087241768,1.29978434,0.0217575428,-9999.00000000,21.474,0.0186363386,0.0000000,0.0000000,2,0
12/12/2023 11:26:18 AM,1,8,0.4716306,0.4630528,0.0086608220,1.29978548,0.0217625643,-9999.00000000,21.491,0.0186428656,0.0000000,0.0000000,2,0
12/12/2023 11:26:20 AM,1,8,0.4722083,0.4636306,0.0086139402,1.29978434,0.0217675503,-9999.00000000,21.480,0.0186493463,0.0000000,0.0000000,2,0
12/12/2023 11:26:22 AM,1,8,0.4727861,0.4642083,0.0085295810,1.29978380,0.0217724968,-9999.00000000,21.483,0.0186557755,0.0000000,0.0000000,2,0
12/12/2023 11:26:24 AM,1,8,0.4733639,0.4647861,0.0084497838,1.29978533,0.0217774000,-9999.00000000,21.478,0.0186621487,0.0000000,0.0000000,2,0
12/12/2023 11:26:26 AM,1,8,0.4739417,0.4653639,0.0084020634,1.29978777,0.0217822670,-9999.00000000,21.493,0.0186684748,0.0000000,0.0000000,2,0
12/12/2023 11:26:28 AM,1,8,0.4745194,0.4659417,0.0083479362,1.29978357,0.0217871004,-9999.00000000,21.493,0.0186747571,0.0000000,0.0000000,2,0
12/12/2023 11:26:30 AM,1,8,0.4750972,0.4665194,0.0082489794,1.29978441,0.0217918923,-9999.00000000,21.491,0.0186809856,0.0000000,0.0000000,2,0
12/12/2023 11:26:32 AM,1,8,0.4756750,0.4670972,0.0081926688,1.29978716,0.0217966486,-9999.00000000,21.495,0.0186871677,0.0000000,0.0000000,2,0
12/12/2023 11:26:34 AM,1,8,0.4762528,0.4676750,0.0081511326,1.29978319,0.0218013745,-9999.00000000,21.487,0.0186933104,0.0000000,0.0000000,2,0
